No.,Masjid ID,Nama Masjid,Provinsi,Kabupaten,Kecamatan,Tipologi,Alamat,Status Tanah,Luas Tanah,Luas Bangunan,Tahun Berdiri,Jamaah,Imam,Khatib,Muazin,Remaja,No. Telp/HP,Email,Latitude,Longitude,Lokasi Peta,Profil Masjid
1,01.4.02.19.07.000001,As-Shobirin,Sumatera Utara,Kab. Batu Bara,Sei Balai,Masjid Jami,Dusun IV Desa Sei Balai,Wakaf,20,200,1950,95,4,9,12,15,-,,3.128095342,99.58573473,"https://www.google.com/maps/search/3.12809534191235900000,99.58573472504213000000",https://simaslama.kemenag.dev/profil/masjid/9476
2,01.4.02.19.07.000002,Istiqamah,Sumatera Utara,Kab. Batu Bara,Sei Balai,Masjid Jami,Dusun V Desa Sei Balai,Wakaf,130,100,1971,45,9,7,8,10,-,,3.122470902,99.57622236,"https://www.google.com/maps/search/3.12247090152211000000,99.57622236048337000000",https://simaslama.kemenag.dev/profil/masjid/9477
3,01.4.02.19.07.000004,Nurul Iman,Sumatera Utara,Kab. Batu Bara,Sei Balai,Masjid Jami,Dusun I-A Desa Benteng Jaya,Wakaf,135,120,1980,100,8,6,0,0,-,,3.110360425,99.58193672,"https://www.google.com/maps/search/3.11036042529808100000,99.58193671773188000000",https://simaslama.kemenag.dev/profil/masjid/9479
4,01.4.02.19.07.000005,Istiqamah,Sumatera Utara,Kab. Batu Bara,Sei Balai,Masjid Jami,Dusun I-B Desa Benteng Jaya,Wakaf,170,120,1983,100,10,4,8,10,-,,3.114486005,99.58143497,"https://www.google.com/maps/search/3.11448600492922400000,99.58143496653065000000",https://simaslama.kemenag.dev/profil/masjid/9480
5,01.4.02.19.07.000006,At-Taqwa,Sumatera Utara,Kab. Batu Bara,Sei Balai,Masjid Jami,Dusun V Desa Durian,Wakaf,200,150,1953,135,10,9,13,15,-,,3.082284412,99.60476446,"https://www.google.com/maps/search/3.08228441210544700000,99.60476446169196000000",https://simaslama.kemenag.dev/profil/masjid/9481
6,01.4.02.19.07.000007,Al-Firdaus,Sumatera Utara,Kab. Batu Bara,Sei Balai,Masjid Jami,Dusun I TAnjung Mulia Desa Perk. Sei Balai,Wakaf,800,800,1975,65,5,7,0,0,-,,3.116439696,99.58266628,"https://www.google.com/maps/search/3.11643969559584550000,99.58266627858393000000",https://simaslama.kemenag.dev/profil/masjid/9482
7,01.4.02.19.07.000008,Darul Maqomah,Sumatera Utara,Kab. Batu Bara,Sei Balai,Masjid Jami,Dusun II Pondok Lolotan Perk. Sei Balai,Wakaf,800,800,1975,60,7,8,0,0,-,,3.106846902,99.59478164,"https://www.google.com/maps/search/3.10684690191740400000,99.59478163858876000000",https://simaslama.kemenag.dev/profil/masjid/9483
8,01.4.02.19.07.000009,Nurul Huda,Sumatera Utara,Kab. Batu Bara,Sei Balai,Masjid Jami,Dusun III Kp. Suka Rejo Desa Perk. Sei Balai,Wakaf,165,300,1981,70,10,9,0,0,-,,3.070332571,99.57675076,"https://www.google.com/maps/search/3.07033257098181700000,99.57675076089800000000",https://simaslama.kemenag.dev/profil/masjid/9484
9,01.4.02.19.07.000010,At-Taqwa,Sumatera Utara,Kab. Batu Bara,Sei Balai,Masjid Jami,Dusun III Desa Sei Balai,Wakaf,140,90,1984,80,8,8,7,10,-,,3.127959646,99.58041322,"https://www.google.com/maps/search/3.12795964590694760000,99.58041322301142000000",https://simaslama.kemenag.dev/profil/masjid/9485
10,01.4.02.19.07.000011,Baitul Makmur,Sumatera Utara,Kab. Batu Bara,Sei Balai,Masjid Jami,Dusun IV Pondok Sumber Rejo Perk. Sei Balai,Wakaf,244,164,1975,100,11,9,0,0,-,,3.105004253,99.59306502,"https://www.google.com/maps/search/3.10500425346958630000,99.59306502350955000000",https://simaslama.kemenag.dev/profil/masjid/9486
11,01.4.02.19.07.000012,Al-Azis,Sumatera Utara,Kab. Batu Bara,Sei Balai,Masjid Jami,Dusun V Rejo Sari Perk. Sei Balai,Wakaf,164,130,1975,100,10,7,0,0,-,,3.105604185,99.5918634,"https://www.google.com/maps/search/3.10560418543441050000,99.59186339518055000000",https://simaslama.kemenag.dev/profil/masjid/9487
12,01.4.02.19.07.000013,An-Nur,Sumatera Utara,Kab. Batu Bara,Sei Balai,Masjid Jami,Dusun VIII Sumber Sari Desa Perk. Sei Balai,Wakaf,100,100,1982,100,6,6,4,0,-,,3.070199724,99.58485174,"https://www.google.com/maps/search/3.07019972411520300000,99.58485174458474000000",https://simaslama.kemenag.dev/profil/masjid/9488
13,01.4.02.19.07.000014,An-Nur,Sumatera Utara,Kab. Batu Bara,Sei Balai,Masjid Jami,Dusun IX Pondok Sekip Desa Perk. Sei Balai,Wakaf,160,80,1975,70,7,9,0,0,-,,3.100976125,99.59533954,"https://www.google.com/maps/search/3.10097612498279900000,99.59533953806385000000",https://simaslama.kemenag.dev/profil/masjid/9489
14,01.4.02.19.07.000015,Al-Jami'atul Barru,Sumatera Utara,Kab. Batu Bara,Sei Balai,Masjid Jami,Dusun XIV Pondok Sekip Desa Perk. Sei Balai,Wakaf,800,640,1975,150,10,10,0,0,-,,3.106761198,99.59413791,"https://www.google.com/maps/search/3.10676119803320600000,99.59413790842518000000",https://simaslama.kemenag.dev/profil/masjid/9490
15,01.4.02.19.07.000016,Al-Huda,Sumatera Utara,Kab. Batu Bara,Sei Balai,Masjid Jami,Dusun VI Ps. Holden Unit I Desa Perjuangan,Wakaf,140,120,1973,100,8,10,0,0,-,,3.107140798,99.59266555,"https://www.google.com/maps/search/3.10714079751099440000,99.59266555313661000000",https://simaslama.kemenag.dev/profil/masjid/9491
16,01.4.02.19.07.000017,Amaliyah,Sumatera Utara,Kab. Batu Bara,Sei Balai,Masjid Jami,Dusun VII Sumber Makmur Desa Perjuangan,Wakaf,140,120,1984,100,8,10,0,0,-,,3.118845474,99.59808612,"https://www.google.com/maps/search/3.11884547371177320000,99.59808612009510000000",https://simaslama.kemenag.dev/profil/masjid/9571
17,01.4.02.19.07.000018,Al-Muhajirin,Sumatera Utara,Kab. Batu Bara,Sei Balai,Masjid Jami,Dusun IX Aman Sari Desa Perjuangan,Wakaf,120,100,1985,65,10,10,0,0,-,,3.115545877,99.59568286,"https://www.google.com/maps/search/3.11554587695564230000,99.59568286081776000000",https://simaslama.kemenag.dev/profil/masjid/9572
